source,target,value,shortname 
General Administration,Philadelphia County,9525111.36,
General Administration,Lackawanna County,501600.74,
General Administration,Mercer County,108824.65,
General Administration,Centre County,116892.54,
General Administration,Lycoming County,198795.32,
Other,Allegheny County,962514.5,R
Other,Beaver County,164828.96,
Other,Berks County,0,
Other,Bucks County,1326138.78,
Other,Chester County,0,
Other,Cumberland County,0,
Other,Dauphin County,0,
Other,Delaware County,0,
Other,Lancaster County,0,
Other,Lehigh County,0,
Other,Luzerne County,0,
Other,Montgomery County,0,
Other,Northhampton County,0,
Other,Washington County,0,
Other,Westmoreland County,0,
Other,York County,29241.5,
Other,Blair County,0,
Other,Erie County,29241.5,
Other,Cambria County,3605.93,
Other,Lebanon County,0,
Other,Philadelphia County,3012081.47,
Other,Lackawanna County,0,
Other,Mercer County,0,
Other,Centre County,0,
Other,Lycoming County,0,
Loan Repayment,Allegheny County,0,R
Loan Repayment,Beaver County,36.87,
Loan Repayment,Berks County,385267.5,
Loan Repayment,Bucks County,385304.37,
Loan Repayment,Chester County,0,
Loan Repayment,Cumberland County,0,
Loan Repayment,Dauphin County,648395.11,
Loan Repayment,Delaware County,224393.25,
Loan Repayment,Lancaster County,224393.25,
Loan Repayment,Lehigh County,224393.25,
Loan Repayment,Luzerne County,0,
Loan Repayment,Montgomery County,19655.14,
Loan Repayment,Northhampton County,92199.2,
Loan Repayment,Washington County,0,
Loan Repayment,Westmoreland County,0,
Loan Repayment,York County,338839.79,
Loan Repayment,Blair County,0,
Loan Repayment,Erie County,338839.79,
Loan Repayment,Cambria County,0,
Loan Repayment,Lebanon County,0,
Loan Repayment,Philadelphia County,1260630,
Loan Repayment,Lackawanna County,235098.5,
Loan Repayment,Mercer County,0,
Loan Repayment,Centre County,0,
Loan Repayment,Lycoming County,0,
Allegheny County,Extremely Low Income,16531507.48,R
Beaver County,Extremely Low Income,1367596.798,
Berks County,Extremely Low Income,1197429.043,
Bucks County,Extremely Low Income,19096533.32,
Chester County,Extremely Low Income,703584.7817,
Cumberland County,Extremely Low Income,680288.1776,
Dauphin County,Extremely Low Income,1562691.228,
Delaware County,Extremely Low Income,4127155.566,
Lancaster County,Extremely Low Income,6067231.485,
Lehigh County,Extremely Low Income,7596821.216,
Luzerne County,Extremely Low Income,2523036.915,
Montgomery County,Extremely Low Income,752595.5658,
Northhampton County,Extremely Low Income,445341.374,
Washington County,Extremely Low Income,81521.04609,
Westmoreland County,Extremely Low Income,0,
York County,Extremely Low Income,2180806.772,
Blair County,Extremely Low Income,18443.83755,
Erie County,Extremely Low Income,4545344.921,
Cambria County,Extremely Low Income,0,
Lebanon County,Extremely Low Income,154197.26,
Philadelphia County,Extremely Low Income,1081177.563,
Lackawanna County,Extremely Low Income,1658504.311,
Mercer County,Extremely Low Income,368181.5537,
Centre County,Extremely Low Income,681938.0456,
Lycoming County,Extremely Low Income,700.096362,
Allegheny County,Low Income,10386291.24,R
Beaver County,Low Income,1202600.667,
Berks County,Low Income,826654.2734,
Bucks County,Low Income,12415546.18,
Chester County,Low Income,938113.0422,
Cumberland County,Low Income,274183.7611,
Dauphin County,Low Income,690166.212,
Delaware County,Low Income,1344195.012,
Lancaster County,Low Income,2911983.275,
Lehigh County,Low Income,3590244.165,
Luzerne County,Low Income,1573193.492,
Montgomery County,Low Income,1561249.611,
Northhampton County,Low Income,864704.2544,
Washington County,Low Income,202567.4479,
Westmoreland County,Low Income,0,
York County,Low Income,666646.8332,
Blair County,Low Income,1758252.824,
Erie County,Low Income,751886.9739,
Cambria County,Low Income,895346.9837,
Lebanon County,Low Income,308394.52,
Philadelphia County,Low Income,22714254.62,
Lackawanna County,Low Income,177590.5488,
Mercer County,Low Income,380763.8363,
Centre County,Low Income,23336.00478,
Lycoming County,Low Income,2000.27532,
Allegheny County,Moderate Income,2870569.881,R
Beaver County,Moderate Income,172083.5937,
Berks County,Moderate Income,1207113.812,
Bucks County,Moderate Income,4249767.287,
Chester County,Moderate Income,354608.3391,
Cumberland County,Moderate Income,287312.0537,
Dauphin County,Moderate Income,253365.7723,
Delaware County,Moderate Income,2266686.269,
Lancaster County,Moderate Income,3469965.367,
Lehigh County,Moderate Income,3729858.456,
Luzerne County,Moderate Income,2158098.994,
Montgomery County,Moderate Income,1419475.675,
Northhampton County,Moderate Income,1561503.911,
Washington County,Moderate Income,3833136.056,
Westmoreland County,Moderate Income,3188826.7,
York County,Moderate Income,350732.598,
Blair County,Moderate Income,13967.17795,
Erie County,Moderate Income,540970.0737,
Cambria County,Moderate Income,311380.357,
Lebanon County,Moderate Income,154197.26,
Philadelphia County,Moderate Income,23781143.49,
Lackawanna County,Moderate Income,109957.262,
Mercer County,Moderate Income,0,
Centre County,Moderate Income,17483.71518,
Lycoming County,Moderate Income,997437.2883,
Allegheny County,Non Low to Moderate Income,1074725.091,R
Beaver County,Non Low to Moderate Income,92704.01179,
Berks County,Non Low to Moderate Income,1042017.892,
Bucks County,Non Low to Moderate Income,2209446.994,
Chester County,Non Low to Moderate Income,15085.437,
Cumberland County,Non Low to Moderate Income,230745.4976,
Dauphin County,Non Low to Moderate Income,183434.6674,
Delaware County,Non Low to Moderate Income,11155.4834,
Lancaster County,Non Low to Moderate Income,11155.4834,
Lehigh County,Non Low to Moderate Income,11155.4834,
Luzerne County,Non Low to Moderate Income,9770.448842,
Montgomery County,Non Low to Moderate Income,40127.43746,
Northhampton County,Non Low to Moderate Income,637945.3208,
Washington County,Non Low to Moderate Income,0,
Westmoreland County,Non Low to Moderate Income,0,
York County,Non Low to Moderate Income,24100.63692,
Blair County,Non Low to Moderate Income,0,
Erie County,Non Low to Moderate Income,475698.2315,
Cambria County,Non Low to Moderate Income,77845.08926,
Lebanon County,Non Low to Moderate Income,0,
Philadelphia County,Non Low to Moderate Income,52391.86429,
Lackawanna County,Non Low to Moderate Income,180780.7982,
Mercer County,Non Low to Moderate Income,0,
Centre County,Non Low to Moderate Income,8778.4344,
Lycoming County,Non Low to Moderate Income,0,
